Name,Step,Evaluation Average Return
"b=50000, lr=0.005",22,-60.60976791
"b=50000, lr=0.005",23,-70.62244415
"b=50000, lr=0.005",24,-46.75775146
"b=50000, lr=0.005",25,-31.56368446
"b=50000, lr=0.005",26,-39.39643478
"b=50000, lr=0.005",27,-46.2583313
"b=50000, lr=0.005",28,-62.59973526
"b=50000, lr=0.005",29,-80.01386261
"b=50000, lr=0.005",30,-68.93523407
"b=50000, lr=0.005",31,-55.49761963
"b=50000, lr=0.005",32,-77.80362701
"b=50000, lr=0.005",33,-42.44314194
"b=50000, lr=0.005",34,-33.13603592
"b=50000, lr=0.005",35,-51.36967468
"b=50000, lr=0.005",36,-47.16970825
"b=50000, lr=0.005",37,-29.46126747
"b=50000, lr=0.005",38,-30.10677147
"b=50000, lr=0.005",39,-45.92666626
"b=50000, lr=0.005",40,-37.72503281
"b=50000, lr=0.005",41,-37.87694931
"b=50000, lr=0.005",42,-52.08289719
"b=50000, lr=0.005",43,-52.69668961
