Lambda,Step,Evaluation Average Return
0.99,47,109.0758514
0.99,48,122.435791
0.99,49,130.0837402
0.99,50,122.6348343
0.99,51,105.970047
0.99,52,137.5657806
0.99,53,116.1307983
0.99,54,159.1460571
0.99,55,139.4942017
0.99,56,140.0257721
0.99,57,169.2220154
0.99,58,154.4953308
0.99,59,180.7916718
0.99,60,182.5234833
0.99,61,176.1976776
0.99,62,144.1294403
0.99,63,200.7315674
0.99,64,175.9206238
0.99,65,194.4438171
0.99,66,177.1250305
0.99,67,180.3783722
0.99,68,146.8835297
0.99,69,225.0543671
0.99,70,210.1746521
0.99,71,194.3896179
0.99,72,183.5534973
0.99,73,171.7998505
0.99,74,204.1319733
0.99,75,203.9090576
0.99,76,209.5768738
0.99,77,189.0117645
0.99,78,183.7335663
0.99,79,194.099411
0.99,80,180.5644684
0.99,81,182.8465118
0.99,82,221.9439087
0.99,83,156.0670624
0.99,84,182.6871643
0.99,85,218.9121704
0.99,86,196.1452332
0.99,87,207.7686462
0.99,88,190.1990204
0.99,89,156.9546967
0.99,90,211.2715759
0.99,91,181.9029999
0.99,92,209.8206482
0.99,93,208.36763
0.99,94,187.0085449
0.99,95,200.3140869
0.99,96,180.0778198
0.99,97,216.3981476
0.99,98,197.638092
0.99,99,218.0263214
0.99,100,214.033905
0.99,101,194.6433563
0.99,102,218.4454956
0.99,103,213.3456116
0.99,104,215.4845276
0.99,105,209.9765625
0.99,106,223.0667725
0.99,107,167.8460846
0.99,108,218.029129
0.99,109,217.3726807
0.99,110,208.377594
0.99,111,235.5941162
0.99,112,225.158905
0.99,113,232.201889
0.99,114,206.8800812
0.99,115,218.4774628
0.99,116,208.6903992
0.99,117,214.2960663
0.99,118,222.9936523
0.99,119,213.8044739
0.99,120,221.255249
0.99,121,215.302887
0.99,122,226.4989014
0.99,123,233.5776978
0.99,124,195.7771301
0.99,125,222.164917
0.99,126,201.9308777
0.99,127,210.0792847
0.99,128,201.0384064
0.99,129,221.55336
0.99,130,227.2900085
0.99,131,252.1483459
0.99,132,234.6082001
0.99,133,234.3417816
0.99,134,234.6074219
0.99,135,224.6369019
0.99,136,236.7122803
0.99,137,217.1750946
0.99,138,232.624527
0.99,139,229.568634
0.99,140,242.4570923
0.99,141,237.5654602
0.99,142,218.5741425
0.99,143,236.2014923
0.99,144,238.0264282
0.99,145,271.9335938
0.99,146,241.9216461
0.99,147,223.2906952
0.99,148,230.0471802
0.99,149,256.6646729
0.99,150,250.6269379
0.99,151,246.4055176
0.99,152,237.8930359
0.99,153,250.6668243
0.99,154,279.5356445
0.99,155,238.3642273
0.99,156,250.1057281
0.99,157,265.9427795
0.99,158,256.9004822
0.99,159,245.3645325
0.99,160,249.4850311
0.99,161,257.9533997
0.99,162,272.4380798
0.99,163,242.5542297
0.99,164,275.8294373
0.99,165,293.0591736
0.99,166,286.009491
0.99,167,263.0827026
0.99,168,234.1963501
0.99,169,266.4025879
0.99,170,262.2661438
0.99,171,259.1168213
0.99,172,301.0227051
0.99,173,255.9871826
0.99,174,262.1618652
0.99,175,290.3204346
0.99,176,302.5383301
0.99,177,267.244873
0.99,178,284.447937
0.99,179,287.0532532
0.99,180,277.7748718
0.99,181,274.8256531
0.99,182,293.263916
0.99,183,268.0129089
0.99,184,315.0493469
0.99,185,264.6575623
0.99,186,290.6704407
0.99,187,373.1818237
0.99,188,319.2517395
0.99,189,278.1915283
0.99,190,313.8083801
0.99,191,309.6011047
0.99,192,330.9457092
0.99,193,297.9959412
0.99,194,288.4848328
0.99,195,301.4946594
0.99,196,234.3481903
0.99,197,299.4989319
0.99,198,315.3072815
0.99,199,356.3171082
0.99,200,334.7362366
0.99,201,405.1524048
0.99,202,366.8538818
0.99,203,326.9969788
0.99,204,346.0884705
0.99,205,335.5052185
0.99,206,345.0314026
0.99,207,381.0223083
0.99,208,412.9127808
0.99,209,375.1795654
0.99,210,428.3654175
0.99,211,373.9176025
0.99,212,416.3786011
0.99,213,400.4952393
0.99,214,365.1099548
0.99,215,341.4281006
0.99,216,428.1775513
0.99,217,402.5085144
0.99,218,439.1607056
0.99,219,331.6818237
0.99,220,427.0234375
0.99,221,362.0939636
0.99,222,420.1213379
0.99,223,376.0998535
0.99,224,421.125824
0.99,225,389.7955933
0.99,226,399.6210327
0.99,227,396.7675781
0.99,228,414.3530884
0.99,229,411.769043
0.99,230,385.0366211
0.99,231,397.9266052
0.99,232,409.3815918
0.99,233,498.1842041
0.99,234,420.4630737
0.99,235,431.9313965
0.99,236,452.9038696
0.99,237,385.3510437
0.99,238,416.7539673
0.99,239,419.0130615
0.99,240,389.4520569
0.99,241,363.8224182
0.99,242,411.7247925
0.99,243,354.5290527
0.99,244,397.9654846
0.99,245,351.4161682
0.99,246,367.8221741
0.99,247,386.0152893
0.99,248,396.2913818
0.99,249,340.464447
0.99,250,402.2971191
0.99,251,354.2990723
0.99,252,375.2367249
0.99,253,347.3667908
0.99,254,404.7936096
0.99,255,371.8259277
0.99,256,354.5082092
0.99,257,311.96875
0.99,258,410.0042419
0.99,259,384.4365234
0.99,260,362.0618591
0.99,261,368.7813416
0.99,262,350.9371033
0.99,263,427.3740234
0.99,264,286.8856201
0.99,265,335.9679565
